TRACK_ID	ARTIST_ID	ALBUM_ID	PATH	DURATION	TAGS	V	A	D
track_0006606	artist_000787	album_001009	06/6606.mp3	224.9	mood/theme---melodic	0.933000	0.238000	0.148000
track_0006607	artist_000787	album_001009	07/6607.mp3	251.5	mood/theme---melodic	0.933000	0.238000	0.148000
track_0006608	artist_000787	album_001009	08/6608.mp3	274.3	mood/theme---melodic	0.933000	0.238000	0.148000
track_0006609	artist_000787	album_001009	09/6609.mp3	239.3	mood/theme---melodic	0.933000	0.238000	0.148000
track_0006610	artist_000787	album_001009	10/6610.mp3	234.3	mood/theme---melodic	0.933000	0.238000	0.148000
track_0006611	artist_000787	album_001009	11/6611.mp3	322.2	mood/theme---melodic	0.933000	0.238000	0.148000
track_0007400	artist_001064	album_001115	00/7400.mp3	146.1	mood/theme---drama	-0.140000	0.510000	-0.038000
track_0007401	artist_001064	album_001115	01/7401.mp3	132.1	mood/theme---drama	-0.140000	0.510000	-0.038000
track_0011006	artist_001619	album_001628	06/11006.mp3	361.7	mood/theme---dark	-0.604000	-0.204000	-0.148000
track_0012100	artist_001822	album_001781	00/12100.mp3	198.3	mood/theme---energetic	mood/theme---heavy	0.097000	0.322000	0.502000
track_0012101	artist_001822	album_001781	01/12101.mp3	237.4	mood/theme---energetic	mood/theme---heavy	0.097000	0.322000	0.502000
track_0012102	artist_001822	album_001781	02/12102.mp3	202.5	mood/theme---energetic	mood/theme---heavy	0.097000	0.322000	0.502000
track_0012303	artist_001858	album_001820	03/12303.mp3	331.9	mood/theme---retro	0.300000	-0.448000	-0.358000
track_0013400	artist_001968	album_001938	00/13400.mp3	204.9	mood/theme---ballad	0.584000	-0.432000	-0.152000
track_0016000	artist_002324	album_002269	00/16000.mp3	162.7	mood/theme---dramatic	mood/theme---epic	mood/theme---powerful	mood/theme---upbeat	0.442500	0.427000	0.535250
track_0016101	artist_002320	album_002284	01/16101.mp3	374.9	mood/theme---heavy	-0.500000	-0.092000	0.200000
track_0019202	artist_002831	album_002700	02/19202.mp3	310.9	mood/theme---meditative	mood/theme---space	0.414000	-0.563000	0.027000
track_0019203	artist_002831	album_002700	03/19203.mp3	254.8	mood/theme---meditative	mood/theme---space	0.414000	-0.563000	0.027000
track_0019205	artist_002831	album_002700	05/19205.mp3	273.3	mood/theme---meditative	mood/theme---space	0.414000	-0.563000	0.027000
track_0021502	artist_003177	album_003005	02/21502.mp3	105.9	mood/theme---fun	mood/theme---positive	0.877000	0.353000	0.522000
track_0021506	artist_003177	album_003005	06/21506.mp3	210.1	mood/theme---relaxing	0.708000	-0.686000	-0.050000
track_0021509	artist_003177	album_003005	09/21509.mp3	95.3	mood/theme---positive	mood/theme---relaxing	0.813000	-0.333000	0.330000
track_0022101	artist_000587	album_003080	01/22101.mp3	187.1	mood/theme---dark	-0.604000	-0.204000	-0.148000
track_0026403	artist_003944	album_003615	03/26403.mp3	176.5	mood/theme---inspiring	0.542000	0.096000	0.210000
track_0026404	artist_003944	album_003615	04/26404.mp3	171.4	mood/theme---documentary	mood/theme---emotional	mood/theme---romantic	0.558000	-0.028000	0.146667
track_0026405	artist_003944	album_003615	05/26405.mp3	241.0	mood/theme---melancholic	mood/theme---sad	-0.594000	-0.361000	-0.574000
track_0031207	artist_004347	album_003910	07/31207.mp3	343.9	mood/theme---dream	0.688000	-0.686000	-0.344000
track_0031208	artist_004347	album_003910	08/31208.mp3	468.6	mood/theme---dream	0.688000	-0.686000	-0.344000
track_0031209	artist_004347	album_003910	09/31209.mp3	264.0	mood/theme---dream	0.688000	-0.686000	-0.344000
track_0031210	artist_004347	album_003910	10/31210.mp3	154.4	mood/theme---dream	0.688000	-0.686000	-0.344000
track_0034008	artist_004729	album_004177	08/34008.mp3	190.1	mood/theme---meditative	mood/theme---relaxing	0.468000	-0.723000	-0.071000
