TRACK_ID	ARTIST_ID	ALBUM_ID	PATH	DURATION	TAGS	V	A	D
track_0006606	artist_000787	album_001009	6606.mp3	224.9	mood/theme---melodic	0.933	0.238	0.148
track_0006607	artist_000787	album_001009	6607.mp3	251.5	mood/theme---melodic	0.933	0.238	0.148
track_0006608	artist_000787	album_001009	6608.mp3	274.3	mood/theme---melodic	0.933	0.238	0.148
track_0006609	artist_000787	album_001009	6609.mp3	239.3	mood/theme---melodic	0.933	0.238	0.148
track_0006610	artist_000787	album_001009	6610.mp3	234.3	mood/theme---melodic	0.933	0.238	0.148
track_0006611	artist_000787	album_001009	6611.mp3	322.2	mood/theme---melodic	0.933	0.238	0.148
track_0007400	artist_001064	album_001115	7400.mp3	146.1	mood/theme---drama	-0.14	0.51	-0.038
track_0007401	artist_001064	album_001115	7401.mp3	132.1	mood/theme---drama	-0.14	0.51	-0.038
track_0011006	artist_001619	album_001628	11006.mp3	361.7	mood/theme---dark	-0.604	-0.204	-0.148
track_0012100	artist_001822	album_001781	12100.mp3	198.3	"mood/theme---energetic	mood/theme---heavy"	0.097	0.322	0.502
track_0012101	artist_001822	album_001781	12101.mp3	237.4	"mood/theme---energetic	mood/theme---heavy"	0.097	0.322	0.502
track_0012102	artist_001822	album_001781	12102.mp3	202.5	"mood/theme---energetic	mood/theme---heavy"	0.097	0.322	0.502
track_0012303	artist_001858	album_001820	12303.mp3	331.9	mood/theme---retro	0.3	-0.448	-0.358
track_0013400	artist_001968	album_001938	13400.mp3	204.9	mood/theme---ballad	0.584	-0.432	-0.152
track_0016000	artist_002324	album_002269	16000.mp3	162.7	"mood/theme---dramatic	mood/theme---epic	mood/theme---powerful	mood/theme---upbeat"	0.4425	0.427	0.53525
track_0016101	artist_002320	album_002284	16101.mp3	374.9	mood/theme---heavy	-0.5	-0.092	0.2
track_0019202	artist_002831	album_002700	19202.mp3	310.9	"mood/theme---meditative	mood/theme---space"	0.414	-0.563	0.027
track_0019203	artist_002831	album_002700	19203.mp3	254.8	"mood/theme---meditative	mood/theme---space"	0.414	-0.563	0.027
track_0019205	artist_002831	album_002700	19205.mp3	273.3	"mood/theme---meditative	mood/theme---space"	0.414	-0.563	0.027
